student_id,name,branch,year_of_study,joining_year,phone,password,stop_id
20211A0001,Rahul Sharma,CSE,4,2020,9509957785,bvrit123,141
20211A0002,Aryan Chowdary,CSE,4,2020,9959217417,bvrit123,106
20211A0003,Aryan Chowdary,CSE,4,2020,9564933628,bvrit123,6
20211A0004,Rahul Verma,CSE,4,2020,9546956717,bvrit123,119
20211A0005,Nikhil Deshmukh,CSE,4,2020,9558305438,bvrit123,96
20211A0006,Sneha Gupta,CSE,4,2020,9358573921,bvrit123,50
20211A0007,Pooja Deshmukh,CSE,4,2020,9799183022,bvrit123,64
20211A0008,Divya Patil,CSE,4,2020,9915234114,bvrit123,4
20211A0009,Neha Goud,CSE,4,2020,9198562751,bvrit123,90
20211A0010,Sneha Singh,CSE,4,2020,9818005155,bvrit123,105
20211A0011,Siddharth Chowdary,CSE,4,2020,9845232685,bvrit123,38
20211A0012,Aryan Goud,CSE,4,2020,9434383014,bvrit123,81
20211A0013,Rohit Kumar,CSE,4,2020,9445413363,bvrit123,101
20211A0014,Pooja Gupta,CSE,4,2020,9230616710,bvrit123,89
20211A0015,Aryan Deshmukh,CSE,4,2020,9942815351,bvrit123,124
20211A0016,Riya Naidu,CSE,4,2020,9926568015,bvrit123,128
20211A0017,Swati Gupta,CSE,4,2020,9308573930,bvrit123,96
20211A0018,Varun Patil,CSE,4,2020,9657589581,bvrit123,114
20211A0019,Riya Verma,CSE,4,2020,9235034073,bvrit123,22
20211A0020,Aditya Patil,CSE,4,2020,9384411787,bvrit123,88
20211A0021,Arjun Goud,CSE,4,2020,9887832492,bvrit123,89
20211A0022,Priya Agarwal,CSE,4,2020,9997429527,bvrit123,111
20211A0023,Nikhil Reddy,CSE,4,2020,9530036510,bvrit123,71
20211A0024,Nikhil Reddy,CSE,4,2020,9907862995,bvrit123,27
20211A0025,Priya Goud,CSE,4,2020,9612445695,bvrit123,76
20211A0026,Nikhil Rao,CSE,4,2020,9281389881,bvrit123,83
20211A0027,Rahul Agarwal,CSE,4,2020,9363912071,bvrit123,55
20211A0028,Anjali Deshmukh,CSE,4,2020,9460820929,bvrit123,49
20211A0029,Siddharth Goud,CSE,4,2020,9708791793,bvrit123,92
20211A0030,Rahul Sharma,CSE,4,2020,9707619000,bvrit123,132
20211A0031,Varun Kumar,CSE,4,2020,9820590393,bvrit123,10
20211A0032,Varun Goud,CSE,4,2020,9220237220,bvrit123,123
20211A0033,Vikram Chowdary,CSE,4,2020,9925870786,bvrit123,121
20211A0034,Pooja Singh,CSE,4,2020,9413993152,bvrit123,12
20211A0035,Siddharth Verma,CSE,4,2020,9870242591,bvrit123,33
20211A0036,Rohit Goud,CSE,4,2020,9756097759,bvrit123,107
20211A0037,Meghana Naidu,CSE,4,2020,9771118482,bvrit123,77
20211A0038,Pooja Agarwal,CSE,4,2020,9986217220,bvrit123,109
20211A0039,Riya Agarwal,CSE,4,2020,9165502134,bvrit123,101
20211A0040,Riya Patil,CSE,4,2020,9456068866,bvrit123,91
20211A0041,Rahul Goud,CSE,4,2020,9126943031,bvrit123,107
20211A0042,Swati Rao,CSE,4,2020,9219333347,bvrit123,67
20211A0043,Neha Rao,CSE,4,2020,9530270240,bvrit123,114
20211A0044,Aditya Agarwal,CSE,4,2020,9326079536,bvrit123,122
20211A0045,Aditya Rao,CSE,4,2020,9627474565,bvrit123,100
20211A0046,Divya Chowdary,CSE,4,2020,9276401965,bvrit123,44
20211A0047,Priya Singh,CSE,4,2020,9922697014,bvrit123,32
20211A0048,Varun Chowdary,CSE,4,2020,9370770657,bvrit123,9
20211A0049,Nikhil Verma,CSE,4,2020,9520231793,bvrit123,108
20211A0050,Sneha Gupta,CSE,4,2020,9278342700,bvrit123,10
20211A0051,Divya Deshmukh,CSE,4,2020,9890926323,bvrit123,39
20211A0052,Riya Yadav,CSE,4,2020,9956980294,bvrit123,116
20211A0053,Nikhil Kumar,CSE,4,2020,9551132854,bvrit123,39
20211A0054,Vikram Gupta,CSE,4,2020,9919393395,bvrit123,40
20211A0055,Kavya Agarwal,CSE,4,2020,9444668772,bvrit123,92
